ingested_at,source,cve_id,title,published,last_modified,cvss,severity,exploited,family,vendors,products,refs
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-38352,Linux Kernel Time-of-Check Time-of-Use (TOCTOU) Race Condition Vulnerability,2025-09-04,2025-09-04,,HIGH,true,other,Linux,Kernel,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-48543,Android Runtime Use-After-Free Vulnerability,2025-09-04,2025-09-04,,HIGH,true,other,Android,Runtime,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-53690,Sitecore Multiple Products Deserialization of Untrusted Data Vulnerability,2025-09-04,2025-09-04,,HIGH,true,other,Sitecore,Multiple Products,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2023-50224,TP-Link TL-WR841N Authentication Bypass by Spoofing Vulnerability,2025-09-03,2025-09-03,,HIGH,true,other,TP-Link,TL-WR841N,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-9377,TP-Link Archer C7(EU) and TL-WR841N/ND(MS) OS Command Injection Vulnerability,2025-09-03,2025-09-03,,HIGH,true,other,TP-Link,Multiple Routers,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2020-24363,TP-link TL-WA855RE Missing Authentication for Critical Function Vulnerability,2025-09-02,2025-09-02,,HIGH,true,other,TP-Link,TL-WA855RE,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-55177,Meta Platforms WhatsApp Incorrect Authorization Vulnerability,2025-09-02,2025-09-02,,HIGH,true,other,Meta Platforms,WhatsApp,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-57819,Sangoma FreePBX Authentication Bypass Vulnerability,2025-08-29,2025-08-29,,HIGH,true,other,Sangoma,FreePBX,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-7775,Citrix NetScaler Memory Overflow Vulnerability,2025-08-26,2025-08-26,,HIGH,true,other,Citrix,NetScaler,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-48384,Git Link Following Vulnerability,2025-08-25,2025-08-25,,HIGH,true,other,Git,Git,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-8068,Citrix Session Recording Improper Privilege Management Vulnerability,2025-08-25,2025-08-25,,HIGH,true,other,Citrix,Session Recording,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2024-8069,Citrix Session Recording Deserialization of Untrusted Data Vulnerability,2025-08-25,2025-08-25,,HIGH,true,other,Citrix,Session Recording,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
2025-09-18T13:24:03Z,CISA-KEV,CVE-2025-54948,Trend Micro Apex One OS Command Injection Vulnerability,2025-08-18,2025-08-18,,HIGH,true,other,Trend Micro,Apex One,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable."
